Date,Name / Description,Expense/Income,Amount
07-31-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,30.21
07-31-2024,BH* BETTERHELP MOUNTAIN VIEW CA,Expense,360
07-31-2024,LYFT 855-280-0278 CA,Expense,25.84
07-31-2024,LYFT 855-280-0278 CA,Expense,33.95
07-30-2024,AplPay STANZA-VINYL San Francisco CA,Expense,9.75
07-30-2024,LYFT 855-280-0278 CA,Expense,15.3
07-29-2024,AplPay HUMPHRY SLOCO San Francisco CA,Expense,9.5
07-28-2024,LYFT 855-280-0278 CA,Expense,9.68
07-27-2024,AplPay WHOLEFDS STN SAN FRANCISCO CA,Expense,73.33
07-27-2024,LYFT 855-280-0278 CA,Expense,21.99
07-27-2024,LYFT 855-280-0278 CA,Expense,24.67
07-26-2024,AplPay WALGREENS SAN FRANCISCO CA,Expense,15.37
07-25-2024,AplPay COWORKING San Francisco CA,Expense,4.5
07-25-2024,AplPay COWORKING San Francisco CA,Expense,5.43
07-25-2024,AplPay TST* THE ITAL SAN FRANCISCO CA,Expense,19.78
07-25-2024,LYFT 855-280-0278 CA,Expense,1.72
07-25-2024,LYFT 855-280-0278 CA,Expense,9.82
07-24-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,43.87
07-22-2024,AplPay BT*DD *DOORDASH SAN FRANCISCO CA,Expense,51.9
07-19-2024,AplPay COWORKING SAN FRANCISCO CA,Expense,10
07-19-2024,LYFT 855-280-0278 CA,Expense,28.67
07-17-2024,AplPay BT*DD *DOORDASH SAN FRANCISCO CA,Expense,28.54
07-17-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,81.01
07-17-2024,LYFT 855-280-0278 CA,Expense,12.95
07-17-2024,NAME-CHEAP.COM* IJTI PHOENIX AZ,Expense,48
07-16-2024,AplPay WALGREENS SAN FRANCISCO CA,Expense,14
07-16-2024,DD *DOORDASH DASHPASS SAN FRANCISCO CA,Expense,9.99
07-14-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,8.63
07-14-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,10.79
07-14-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,10.79
07-14-2024,AplPay JOE & THE JUICE SAN FRANCISCO CA,Expense,5.22
07-14-2024,AplPay WHOLEFDS STN SAN FRANCISCO CA,Expense,21.32
